Unnamed: 0,어린이집명,시도명,시군구명,어린이집유형구분,정원수,보육교직원수,소재지도로명주소,어린이집전화번호,어린이집팩스번호,보육실수,놀이터수,CCTV설치수,통학차량운영여부,홈페이지주소,데이터기준일자,lon,lat,UTM-K_위도변환,UTM-K_경도변환
1,the KIDS 대방 어린이집,서울특별시,동작구,직장,49,21,서울특별시 동작구 보라매로5가길 24 사옥2층,02-849-8555,02-849-8556,5,0,24,미운영,www.daebang.thekids-hyundai.com,2020-03-27,126.9239177,37.4905172,543454.3754,193271.5376
2,YWCA또래또어린이집,서울특별시,동작구,민간,69,17,서울특별시 동작구 국사봉1길 100 (상도동),02-821-0210,--,6,1,8,운영(신고),http://iseoul.seoul.go.kr/homepage/main.do?stCode=11590000079,2020-03-27,126.931438,37.4970648,544180.5626,193937.137
3,강남방과후교실어린이집,서울특별시,동작구,법인·단체등,39,5,"서울특별시 동작구 만양로 76 2층 (노량진동,강남교회)",02-814-7616,02-817-9571,2,0,3,미운영,http://iseoul.seoul.go.kr/portal/mainCall.do,2020-03-27,126.9450783,37.5102931,545647.9423,195144.1908
4,건영어린이집,서울특별시,동작구,가정,19,7,"서울특별시 동작구 만양로 26 103동 102호(노량진동, 건영)",02-821-2008,02-821-2008,3,2,4,미운영,,2020-03-27,126.949474,37.5073471,545320.7562,195532.6536
5,구립가온어린이집,서울특별시,동작구,국공립,79,11,서울특별시 동작구 상도로15가길 16,02-3280-0217,02-3280-0218,5,1,9,미운영,,2020-03-27,126.9323514,37.5019405,544721.6437,194018.2969
6,구립강남어린이집,서울특별시,동작구,국공립,74,10,서울특별시 동작구 만양로12길 5-12,02-814-7615,02-812-7615,6,1,15,미운영,,2020-03-27,126.9457806,37.5098975,545603.9997,195206.2582
7,구립강마루어린이집,서울특별시,동작구,국공립,69,8,서울특별시 동작구 현충로 52 흑석아크로리버하임 아파트,02-814-3200,02-814-3202,4,1,7,미운영,,2020-03-27,126.9613564,37.5109104,545715.7391,196583.4197
8,구립고은어린이집,서울특별시,동작구,국공립,79,11,서울특별시 동작구 신대방2길 42-10,02-834-1097,02-834-1095,6,1,8,미운영,http://iseoul.seoul.go.kr/homepage/main.do?stCode=11590000006,2020-03-27,126.9126144,37.4894135,543332.7471,192271.7979
9,구립꿈나무어린이집,서울특별시,동작구,국공립,99,15,서울특별시 동작구 여의대방로36길 11 (대방동),02-821-5615,02-821-5565,6,1,8,미운영,http://iseoul.seoul.go.kr/homepage/main.do?stCode=11590000061,2020-03-27,126.925909,37.5020201,544730.9072,193448.6464
10,구립꿈담어린이집,서울특별시,동작구,국공립,39,6,서울특별시 동작구 상도로47아길 44-1 2층,02-813-4246,--,3,0,12,미운영,,2020-03-27,126.9535151,37.504183,544969.3975,195889.7813
11,구립꿈마루어린이집,서울특별시,동작구,국공립,30,11,서울특별시 동작구 현충로 52 흑석아크로리버하임 아파트 관리동,02-6277-6990,02-6277-6992,3,0,5,미운영,https://iseoul.seoul.go.kr/homepage/main.do?stCode=11590000431,2020-03-27,126.9611496,37.5101834,545635.0589,196565.1026
12,구립나래어린이집,서울특별시,동작구,국공립,82,13,서울특별시 동작구 상도로15라길 24 나래어린이집,02-823-3412,02-823-3418,6,1,23,미운영,http://iseoul.seoul.go.kr/homepage/main.do?stCode=11590000047,2020-03-27,126.9401384,37.504402,544994.372,194707.0219
13,구립노량진2동어린이집,서울특별시,동작구,국공립,79,14,서울특별시 동작구 장승배기로15길 21 (노량진동),02-821-4756,02-813-4756,7,3,8,미운영,http://iseoul.seoul.go.kr/homepage/main.do?stCode=11590000037,2020-03-27,126.9390356,37.506879,545269.3498,194609.6902
14,구립노량진어린이집,서울특별시,동작구,국공립,49,13,서울특별시 동작구 노량진로14길 44 노량진동 84-33,02-822-7373,02-822-7376,5,0,16,미운영,http://iseoul.seoul.go.kr/homepage/main.do?stCode=11590000060,2020-03-27,126.9426157,37.5116713,545801.0348,194926.5575
15,구립노블어린이집,서울특별시,동작구,국공립,95,20,서울특별시 동작구 만양로 6 e편한세상상도노빌리티 관리동,02-812-0668,02-812-0669,7,1,14,미운영,https://iseoul.seoul.go.kr/homepage/main.do?stCode=11590000429,2020-03-27,126.9477205,37.505273,545090.6424,195377.4869
16,구립대방보듬이나눔이어린이집,서울특별시,동작구,국공립,84,14,서울특별시 동작구 대방동15길 10,02-822-1257,02-823-1257,6,1,12,미운영,http://www.childcare.go.kr,2020-03-27,126.9246246,37.5028877,544827.2898,193335.153
17,구립도담어린이집,서울특별시,동작구,국공립,19,9,서울특별시 동작구 여의대방로10길 59 보라매파크빌아파트 104동 102호,02-831-5041,02-831-5042,3,0,5,미운영,http://iseoul.seoul.go.kr/homepage/main.do?stCode=11590000407,2020-03-27,126.9154499,37.4944036,543886.3539,192523.0612
18,구립도레미어린이집,서울특별시,동작구,국공립,95,13,서울특별시 동작구 흑석로13길 25,02-813-2031,02-813-2032,7,1,18,미운영,,2020-03-27,126.9591277,37.5098032,545592.9373,196386.3212
19,구립둥지어린이집,서울특별시,동작구,국공립,47,9,서울특별시 동작구 사당로14길 20 둥지어린이집 (사당동),02-597-0912,02-597-6512,4,1,6,미운영,http://iseoul.seoul.go.kr/homepage/main.do?stCode=11590000021,2020-03-27,126.9713336,37.4832671,542647.3771,197464.5953
20,구립라온어린이집,서울특별시,동작구,국공립,57,18,서울특별시 동작구 동작대로17길 28 (사당동),02-522-5298,02-588-5298,6,2,11,미운영,http://iseoul.seoul.go.kr/homepage/main.do?stCode=11590000255,2020-03-27,126.9787548,37.4830324,542621.1545,198120.9587
21,구립로미어린이집,서울특별시,동작구,국공립,74,11,서울특별시 동작구 만양로 19,02-3280-3535,02-3280-3636,5,1,7,미운영,http://iseoul.seoul.go.kr/homepage/main.do?stCode=11590000396,2020-03-27,126.9450215,37.5074939,545337.2698,195138.9874
22,구립로야어린이집,서울특별시,동작구,국공립,88,22,서울특별시 동작구 상도로62길 87 (상도동),02-822-2246,02-826-2246,7,3,16,미운영,http://iseoul.seoul.go.kr/homepage/main.do?stCode=11590000010,2020-03-27,126.9516319,37.4976747,544247.1443,195722.8965
23,구립로이어린이집,서울특별시,동작구,국공립,30,10,서울특별시 동작구 사당로23길 112,02-535-5277,02-535-5279,3,1,5,미운영,http://iseoul.seoul.go.kr/homepage/main.do?stCode=11590000425,2020-03-27,126.9732616,37.4877657,543146.612,197635.2594
24,구립롯데키즈어린이집,서울특별시,동작구,국공립,30,8,서울특별시 동작구 여의대방로10길 38 보라매롯데낙천대아파트 관리동 1층,02-847-5333,02-847-5336,3,1,6,미운영,,2020-03-27,126.9131888,37.4943,543875.0377,192323.0968
25,구립리가어린이집,서울특별시,동작구,국공립,20,9,"서울특별시 동작구 사당로27길 130 105동 키즈클럽(사당동,이수역 리가아파트)",02-536-1292,02-536-1295,3,1,5,미운영,http://iseoul.seoul.go.kr/homepage/main.do?stCode=11590000426,2020-03-27,126.9736666,37.4897663,543368.6422,197671.1396
26,구립문화어린이집,서울특별시,동작구,국공립,79,13,서울특별시 동작구 사당로13길 24 (사당동),02-534-0175,02-534-0196,7,1,14,미운영,http://iseoul.seoul.go.kr/homepage/main.do?stCode=11590000004,2020-03-27,126.972394,37.4851433,542855.5824,197558.4436
27,구립바르니어린이집,서울특별시,동작구,국공립,19,8,서울특별시 동작구 사당로17길 52 대림아파트 3-106,02-582-4701,02-591-4701,3,1,4,미운영,,2020-03-27,126.9725834,37.4867945,543038.8389,197575.2481
28,구립백로어린이집,서울특별시,동작구,국공립,50,10,서울특별시 동작구 장승배기로19라길 51 (상도동),02-816-1031,02-816-1032,5,1,10,미운영,http://iseoul.seoul.go.kr/portal/info/preSchoolList.do,2020-03-27,126.9357762,37.5068605,545267.4882,194321.5013
29,구립백합어린이집,서울특별시,동작구,국공립,20,8,"서울특별시 동작구 동작대로29길 119 110동 105호 (사당동, 극동아파트)",02-596-9117,02-596-9117,4,1,5,미운영,http://iseoul.seoul.go.kr/homepage/main.do?stCode=11590000420,2020-03-27,126.9760224,37.4897954,543371.8162,197879.4816
30,구립보라매어린이집,서울특별시,동작구,국공립,79,15,서울특별시 동작구 여의대방로22길 44 (신대방동),02-826-4503,02-826-4505,5,1,8,미운영,http://iseoul.seoul.go.kr/homepage/main.do?stCode=11590000058,2020-03-27,126.9223621,37.4974933,544228.7438,193134.6042
31,구립비둘기어린이집,서울특별시,동작구,국공립,51,10,서울특별시 동작구 여의대방로44길 47 (대방동),02-817-2903,02-817-2906,4,1,5,미운영,http://iseoul.seoul.go.kr/homepage/main.do?stCode=11590000041,2020-03-27,126.9300803,37.5101302,545630.7421,193818.1544
32,구립사당4동어린이집,서울특별시,동작구,국공립,82,13,서울특별시 동작구 사당로22나길 70,02-581-0010,02-581-0308,5,2,9,미운영,http://iseoul.seoul.go.kr/homepage/main.do?stCode=11590000401,2020-03-27,126.9731106,37.4806245,542354.0373,197621.6786
33,구립사당빛나어린이집,서울특별시,동작구,국공립,79,12,서울특별시 동작구 동작대로29길 118,02-845-6545,02-536-6545,5,1,15,미운영,http://iseoul.seoul.go.kr/homepage/main.do?stCode=11590000414,2020-03-27,126.9766746,37.4909724,543502.4332,197937.1928
34,구립사당어린이집,서울특별시,동작구,국공립,78,11,서울특별시 동작구 사당로27길 190 (사당동),02-533-7155,02-3476-7155,5,2,12,미운영,http://iseoul.seoul.go.kr/homepage/main.do?stCode=11590000039,2020-03-27,126.9722542,37.4906466,543466.3798,197546.2593
35,구립상도3동어린이집,서울특별시,동작구,국공립,75,21,서울특별시 동작구 성대로6가길 5,02-825-9153,02-825-9154,7,1,24,미운영,http://iseoul.seoul.go.kr/homepage/main.do?stCode=11590000402,2020-03-27,126.9329214,37.4986028,544351.1661,194068.4341
36,구립상도4동어린이집,서울특별시,동작구,국공립,69,11,서울특별시 동작구 상도로22길 45 구립상도4동어린이집,02-3280-1145,--,4,1,5,미운영,http://iseoul.seoul.go.kr/homepage/main.do?stCode=11590000403,2020-03-27,126.9373119,37.5012149,544640.8077,194456.8664
37,구립상도어린이집,서울특별시,동작구,국공립,187,34,서울특별시 동작구 양녕로36길 15 (상도동),02-825-0505,02-825-0236,11,2,22,미운영,http://iseoul.seoul.go.kr/homepage/main.do?stCode=11590000028,2020-03-27,126.9464077,37.5024623,544778.7562,195261.2325
38,구립새빛어린이집,서울특별시,동작구,국공립,30,9,서울특별시 동작구 장승배기로11가길 11,02-827-0791,02-827-0793,3,0,7,미운영,http://iseoul.seoul.go.kr/homepage/main.do?stCode=11590000417,2020-03-27,126.9387937,37.5060731,545179.9191,194588.2438
39,구립새싹어린이집,서울특별시,동작구,국공립,91,16,서울특별시 동작구 동작대로29길 119 극동아파트111동 뒤 새싹어린이집,02-537-4216,02-536-4196,5,1,14,미운영,http://iseoul.seoul.go.kr/homepage/main.do?stCode=11590000063,2020-03-27,126.9760224,37.4897954,543371.8162,197879.4816
40,구립샛별어린이집,서울특별시,동작구,국공립,49,11,서울특별시 동작구 성대로27길 12 (상도동),02-823-2482,02-823-2462,4,0,8,미운영,http://childcare.dongjak.seoul.kr/newsta,2020-03-27,126.939114,37.4991803,544414.8888,194616.0693
41,구립선재어린이집,서울특별시,동작구,국공립,84,17,서울특별시 동작구 노량진로32길 62 (본동),02-815-0274,02-814-9418,6,1,12,미운영,childcare.dongjak.seoul.kr/sunjae,2020-03-27,126.9569165,37.5114209,545772.5686,196190.9026
42,구립성대어린이집,서울특별시,동작구,국공립,74,14,서울특별시 동작구 성대로10길 27 성대어린이집 (상도동),02-826-9003,02-816-7666,4,1,12,미운영,www.childcare.dongjak.go.kr/sungde/,2020-03-27,126.9352812,37.4967648,544147.0258,194276.9642
43,구립세움어린이집,서울특별시,동작구,국공립,49,9,서울특별시 동작구 등용로 24-5 세움교회 1층,02-826-5656,02-826-5588,4,0,9,미운영,http://iseoul.seoul.go.kr/portal/info/preSchoolList.do,2020-03-27,126.9358532,37.5064584,545222.8556,194328.279
44,구립스마일어린이집,서울특별시,동작구,국공립,20,8,서울특별시 동작구 성대로11길 42,02-813-2602,--,4,0,7,미운영,http://iseoul.seoul.go.kr/homepage/main.do?stCode=11590000410,2020-03-27,126.9344892,37.4992143,544418.937,194207.1174
45,구립신대방1동어린이집,서울특별시,동작구,국공립,49,8,서울특별시 동작구 신대방1길 44,02-849-4533,02-849-4534,4,0,7,미운영,http://iseoul.seoul.go.kr/homepage/main.do?stCode=11590000397,2020-03-27,126.9091469,37.4864937,543008.978,191964.8266
46,구립아기둥지어린이집,서울특별시,동작구,국공립,19,10,서울특별시 동작구 상도로 421 108동 108호 (관악현대아파트),02-887-7796,02-887-7796,4,0,4,미운영,https://iseoul.seoul.go.kr/homepage/sisulInfo/intro.do?stCode=11590000416,2020-03-27,126.9583387,37.4921791,543636.9208,196315.6968
47,구립아람어린이집,서울특별시,동작구,국공립,19,7,서울특별시 동작구 상도로30길 40 두산위브트레지움아파트 203동 204호,02-822-8620,02-812-8620,4,1,4,미운영,http://iseoul.seoul.go.kr/homepage/main.do?stCode=11590000413,2020-03-27,126.9431098,37.5046975,545027.0057,194969.7737
48,구립아리아어린이집,서울특별시,동작구,국공립,33,11,서울특별시 동작구 보라매로5길 51 102호,02-836-9300,02-836-9301,4,0,6,미운영,http://iseoul.seoul.go.kr/homepage/main.do?stCode=11590000424,2020-03-27,126.9231054,37.4906999,543474.7111,193199.7171
49,구립양지어린이집,서울특별시,동작구,국공립,99,15,서울특별시 동작구 사당로23바길 9 삼성래미안내 구립양지어린이집 (사당동),02-533-9250,02-592-9250,6,1,10,미운영,http://iseoul.seoul.go.kr/homepage/sisulInfo/hrConerList.do?stCode=11590000029,2020-03-27,126.9717632,37.4887896,543260.2901,197502.7752
50,구립연꽃어린이집,서울특별시,동작구,국공립,144,24,서울특별시 동작구 국사봉1길 235-1,02-823-3203,02-823-3205,8,2,14,미운영,http://iseoul.seoul.go.kr/homepage/main.do?stCode=11590000050,2020-03-27,126.9362181,37.4932551,543757.4384,194359.5496
51,구립열린어린이집,서울특별시,동작구,국공립,21,7,서울특별시 동작구 동작대로29길 91,02-594-8153,02-595-8153,3,1,4,미운영,http://iseoul.seoul.go.kr/homepage/main.do?stCode=11590000423,2020-03-27,126.9760224,37.4897954,543371.8162,197879.4816
52,구립예담어린이집,서울특별시,동작구,국공립,181,37,서울특별시 동작구 매봉로 43 예담어린이집 (상도1동 511),02-815-6893,02-815-4990,11,1,32,미운영,http://iseoul.seoul.go.kr/homepage/main.do?stCode=11590000007,2020-03-27,126.9512514,37.506807,545260.7291,195689.7746
53,구립우리어린이집,서울특별시,동작구,국공립,99,14,서울특별시 동작구 솔밭로 74-1 구립우리어린이집 (사당동),02-584-7684,02-581-7684,6,1,9,미운영,http://iseoul.seoul.go.kr/homepage/main.do?stCode=11590000025,2020-03-27,126.967251,37.483017,542619.7371,197103.4994
54,구립은하어린이집,서울특별시,동작구,국공립,82,14,서울특별시 동작구 여의대방로22아길 77,02-821-0421,02-817-7882,5,1,14,미운영,childcare.dongjak.go.kr/eunha/,2020-03-27,126.9250777,37.4958141,544042.1798,193374.592
55,구립이솔어린이집,서울특별시,동작구,국공립,45,10,서울특별시 동작구 서달로 123,02-815-0492,02-815-0493,4,0,10,미운영,,2020-03-27,126.9606547,37.5044978,545004.0484,196521.083
56,구립이수어린이집,서울특별시,동작구,국공립,69,11,서울특별시 동작구 동작대로35길 36 이수어린이집 (사당동),02-591-7634,02-591-7635,6,1,21,미운영,http://iseoul.seoul.go.kr/homepage/main.do?stCode=11590000005,2020-03-27,126.9805873,37.4913838,543548.0147,198283.2261
57,구립장미어린이집,서울특별시,동작구,국공립,19,7,서울특별시 동작구 동작대로29길 115,02-596-1116,02-596-1161,3,0,4,미운영,http://iseoul.seoul.go.kr/homepage/main.do?stCode=11590000421,2020-03-27,126.9760224,37.4897954,543371.8162,197879.4816
58,구립참사랑어린이집,서울특별시,동작구,국공립,156,27,서울특별시 동작구 동작대로17길 37 (사당동),02-582-2072,02-582-2073,9,1,13,미운영,http://iseoul.seoul.go.kr/homepage/main.do?stCode=11590000022,2020-03-27,126.9774988,37.4827683,542591.8688,198009.8642
59,구립큰나무어린이집,서울특별시,동작구,국공립,79,15,서울특별시 동작구 사당로2가길 219 (사당동),02-585-0700,02-585-0703,7,0,8,미운영,http://iseoul.seoul.go.kr/homepage/main.do?stCode=11590000024,2020-03-27,126.9669589,37.4856158,542908.1785,197077.7657
60,구립큰별어린이집,서울특별시,동작구,국공립,94,17,서울특별시 동작구 흑석한강로 28 구립큰별어린이집 (흑석동 336-1번지),02-827-0082,02-827-0086,6,1,11,미운영,http://iseoul.seoul.go.kr/homepage/main.do?stCode=11590000009,2020-03-27,126.9626874,37.5065516,545231.9206,196700.905
61,구립키움어린이집,서울특별시,동작구,국공립,20,9,서울특별시 동작구 매봉로 123 104동 101호,02-2135-6663,02-2135-6669,3,0,4,미운영,http://iseoul.seoul.go.kr/homepage/main.do?stCode=11590000415,2020-03-27,126.9502629,37.509996,545614.713,195602.561
62,구립키즈사랑어린이집,서울특별시,동작구,국공립,27,10,서울특별시 동작구 알마타길 37 관리동 1층,02-3280-0377,02-3280-0377,4,1,5,미운영,http://iseoul.seoul.go.kr/homepage/main.do?stCode=11590000422,2020-03-27,126.9289027,37.5120199,545840.5527,193714.1971
