Unnamed: 0,교육청,소재구,유치원명,설립,우편번호,주소,전화번호,학급수,학생수.계,여.학생수,정규.교원수.계,정규.여.교원수,기간제.교원수.계,기간제.여.교원수,비고,lon,lat,UTM-K_위도변환,UTM-K_경도변환
1,동작관악,동작구,서울강남초등학교병설유치원,공립,156-881,서울특별시 동작구 강남초등길 15  서울강남초등학교병설유치원 (상도1동강남초등학교),02-824-0503,3,58,33,2,2,1,1,신설,126.9528065,37.5061982,545193.09,195827.2386
2,동작관악,동작구,서울남성초등학교병설유치원,공립,156-820,서울특별시 동작구 사당로23길 57-14 (사당동남성초등학교),02-595-3991,3,70,34,2,2,1,1,,126.9758609,37.4842393,542755.1661,197865.0408
3,동작관악,동작구,서울문창초등학교병설유치원,공립,156-853,서울특별시 동작구 신대방2길 14 (신대방동서울문창초등학교),02-836-9535,3,68,29,3,3,1,1,,126.9137666,37.4890267,543289.7234,192373.6568
4,동작관악,동작구,서울상도유치원,공립,156-840,서울특별시 동작구 성대로21길 62  서울상도유치원 (상도동상도초등학교),02-827-0037,6,84,38,6,6,3,3,신설,126.93717,37.50007,544513.747,194444.2342
5,동작관악,동작구,서울신남성초등학교병설유치원,공립,156-879,서울특별시 동작구 사당로 146 (사당동서울신남성초등학교),02-587-6131,3,70,35,3,3,1,1,,126.9650765,37.4889037,543273.1521,196911.417
6,동작관악,동작구,서울은로초등학교병설유치원,공립,156-862,서울특별시 동작구 서달로 115 (흑석동은로초등학교),02-826-5787,5,100,62,5,5,3,3,,126.9600286,37.5032922,544870.2657,196465.6663
7,동작관악,동작구,강남유치원,사립,156-830,서울특별시 동작구 상도로41가길 13 (상도1동대한예수교장로회상도교회),02-813-7122,3,74,33,6,6,0,0,,126.9496407,37.5035142,544895.3456,195547.1651
8,동작관악,동작구,노량진교회유치원,사립,156-060,서울특별시 동작구 노량진로30길 9 (본동노량진교회),02-817-3875,3,69,32,6,6,0,0,,126.9554476,37.5124486,545886.6907,196061.0882
9,동작관악,동작구,동그라미유치원,사립,156-825,서울특별시 동작구 사당로28길 34 (사당동동그라미유치원),02-587-7223,10,262,134,19,19,0,0,,126.9793051,37.4816563,542468.4149,198169.5967
10,동작관악,동작구,동아유치원,사립,156-813,서울특별시 동작구 만양로3길 48 동아유치원,02-6332-7718,13,290,128,18,18,0,0,,126.9373558,37.4997141,544474.2357,194460.6374
11,동작관악,동작구,메이플유치원,사립,156-786,서울특별시 동작구 여의대방로 22 (신대방동우성아파트),02-848-8882,6,127,60,9,9,0,0,,126.9130405,37.4926776,543694.9845,192309.816
12,동작관악,동작구,명수유치원,사립,156-861,서울특별시 동작구 흑석로13길 3 (흑석동흑석동천주교회),02-816-2964,4,102,55,9,9,0,0,,126.96038,37.5088159,545483.3123,196496.9958
13,동작관악,동작구,무지개유치원,사립,156-836,서울특별시 동작구 상도로 399  삼호아파트 단지내 (상도동삼호아파트),02-817-9854,4,66,36,8,8,0,0,,126.9575014,37.4933767,543769.8718,196241.7104
14,동작관악,동작구,벧엘유치원,사립,156-803,서울특별시 동작구 장승배기로20길 46-3 (노량진동송학대교회 벧엘유치원),02-814-1482,6,143,78,8,8,0,0,,126.9427801,37.5089579,545499.8732,194940.9092
15,동작관악,동작구,사랑유치원,사립,156-811,서울특별시 동작구 여의대방로24나길 6 (대방동),02-822-0102,5,113,62,8,8,0,0,,126.9211621,37.4983617,544325.2131,193028.5708
16,동작관악,동작구,상도유치원,사립,156-834,서울특별시 동작구 상도로  47길 51,02-815-3319,3,56,34,5,5,0,0,,126.9514916,37.5013154,544651.2212,195710.6983
17,동작관악,동작구,상아유치원,사립,156-841,서울특별시 동작구 양녕로26길 15 (상도동약수맨션아파트),02-822-6901,2,34,21,4,4,0,0,,126.944197,37.4985147,544340.7372,195065.497
18,동작관악,동작구,샛별유치원,사립,156-030,서울특별시 동작구 상도로50길 36-1  샛별유치원 (상도동),02-3280-8993,8,167,85,12,12,0,0,신설,126.9464271,37.5023991,544771.7408,195262.9439
19,동작관악,동작구,성모유치원,사립,156-838,서울특별시 동작구 장승배기로5길 16 (상도동성모유치원),02-823-6878,7,96,49,12,12,0,0,,126.9399195,37.5015421,544676.9723,194687.4641
20,동작관악,동작구,소망유치원,사립,156-791,서울특별시 동작구 현충로 119 명수대현대 아파트 단지내 소망유치원 (흑석동명수대현대아파트),02-823-8871,3,74,38,7,7,0,0,,126.9664285,37.5070399,545285.9911,197031.7039
21,동작관악,동작구,송림유치원,사립,156-879,서울특별시 동작구 사당로2다길 95 (사당동송림유치원 수녀원),02-523-7718,4,92,38,10,10,0,0,,126.9634176,37.4890162,543285.6938,196764.7112
22,동작관악,동작구,승혜유치원,사립,156-836,서울특별시 동작구 성대로21길 15 (상도동승혜유치원),02-822-9430,5,113,53,9,9,0,0,,126.9370588,37.498709,544362.7002,194434.3003
23,동작관악,동작구,양문유치원,사립,156-853,서울특별시 동작구 시흥대로 644-1 (신대방동양문교회),02-834-6864,5,61,26,6,6,0,0,,126.9073747,37.4891543,543304.4223,191808.3813
24,동작관악,동작구,열림유치원,사립,156-811,서울특별시 동작구 여의대방로44길 49 (대방동),02-825-5021,9,227,113,15,15,0,0,,126.9276167,37.5090188,545507.5556,193600.244
25,동작관악,동작구,예림유치원,사립,156-792,서울특별시 동작구 현충로 151 (흑석동한강현대아파트),02-817-1455,3,50,28,6,6,0,0,,126.9695517,37.50693,545273.6996,197307.8444
26,동작관악,동작구,요요유치원,사립,156-787,서울특별시 동작구 여의대방로 28 (신대방동현대아파트),02-836-6710,7,157,69,13,13,0,0,,126.9123113,37.4949035,543942.0902,192245.56
27,동작관악,동작구,은혜유치원,사립,156-844,서울특별시 동작구 성대로6가길 29 (상도동애광유치원),02-822-3450,5,16,5,3,3,0,0,,126.9331981,37.4977646,544258.1193,194092.8359
28,동작관악,동작구,장아유치원,사립,156-751,서울특별시 동작구 만양로8길 50 (노량진동우성아파트),02-817-4442,6,108,55,10,10,0,0,,126.9478074,37.5095412,545564.3536,195385.4333
29,동작관악,동작구,중앙대부속유치원,사립,156-756,서울특별시 동작구 흑석로 47 (흑석동중앙대학교사범대학유치원),02-815-0146,6,150,75,8,8,0,0,,126.9556123,37.5065417,545231.0934,196075.3402
30,동작관악,동작구,총신대부속유치원,사립,156-763,서울특별시 동작구 사당로 143 (사당동대한예수교장로회총회신학원),02-3479-0550,6,143,67,12,11,0,0,,126.9668169,37.4886232,543241.9646,197065.3245
31,동작관악,동작구,태성유치원,사립,156-849,서울특별시 동작구 여의대방로16길 1 (신대방동태성대아파트) 태성복지관1층,02-842-6122,3,57,25,6,6,0,0,,126.917283,37.4954869,544006.4421,192685.2717
32,동작관악,동작구,하랑숲유치원,사립,156-080,서울특별시 동작구 동작대로41길 7 (동작동),02-2038-6606,10,188,86,18,18,0,0,,126.9817887,37.4960102,544061.4633,198389.572
33,동작관악,동작구,한가람유치원,사립,156-863,서울특별시 동작구 현충로14길 26 (흑석동한가람교회),02-812-0646,2,33,19,3,3,0,0,,126.9692646,37.5052031,545082.0442,197282.3972
34,동작관악,동작구,행복유치원,사립,156-030,서울특별시 동작구 상도동 산 65-184,02-3280-1188,7,175,89,18,18,0,0,,126.9411758,37.4952522,543978.8049,194798.1144
