GU_CDE,DONG_CDE,JIBUN,geometry,X좌표,Y좌표
590,10700,708-592천,POINT (197451.6832775803 542255.4905198738),197451.6832775803,542255.4905198738
590,10700,708-1110천,POINT (196866.5862597014 543293.1973734621),196866.5862597014,543293.1973734621
590,10700,708-1110천,POINT (196862.4271102072 543300.6210580587),196862.42711020718,543300.6210580587
590,10700,산32-59 도,POINT (197052.4542100756 542556.1290698861),197052.45421007558,542556.129069886
590,10200,320-20도,POINT (194092.4268168866 544422.8202240409),194092.4268168866,544422.8202240409
590,10700,318-11도,POINT (197751.5508037184 542637.2330738012),197751.5508037184,542637.2330738012
590,10800,58천,POINT (193950.4332808631 545965.0155927212),193950.43328086307,545965.0155927212
590,10800,58천,POINT (194003.8668410127 545982.3200989428),194003.8668410127,545982.3200989428
590,10800,58천,POINT (194003.6606670944 545967.6010608834),194003.6606670944,545967.6010608835
590,10100,70-4도,POINT (194575.5975000008 545998.3680000004),194575.5975000008,545998.3680000004
590,10100,319천,POINT (194699.1403811762 546008.1457788789),194699.1403811762,546008.1457788789
590,10100,44-6도,POINT (194699.539654813 545985.6898374134),194699.539654813,545985.6898374135
590,10100,63-12도,POINT (194728.7200818981 545989.2005337807),194728.7200818981,545989.2005337807
590,10100,319천,POINT (194714.0262506464 545991.4193149812),194714.02625064642,545991.4193149812
590,10100,316도,POINT (195051.1738224014 546039.8133365293),195051.1738224014,546039.8133365293
590,10100,13-4도,POINT (195052.4941013109 546026.0848920578),195052.4941013109,546026.0848920578
590,10100,13-4도,POINT (195095.250807574 546047.0331907494),195095.250807574,546047.0331907494
590,10100,2-3 수,POINT (195095.9977763062 546032.9412175978),195095.9977763062,546032.9412175978
590,10100,151-24대,POINT (195172.2652413116 546046.8253973328),195172.2652413116,546046.8253973328
590,10100,165-8도,POINT (195418.8805363977 545945.7464671102),195418.8805363977,545945.7464671102
590,10100,477-1도,POINT (195535.3135584886 545932.5673182725),195535.3135584886,545932.5673182725
590,10100,482대,POINT (195532.0285117219 545918.6509969899),195532.0285117219,545918.6509969899
590,10400,374-3도,POINT (195581.5444432332 545906.5105280057),195581.5444432332,545906.5105280057
590,10400,477-1도,POINT (195646.5729970101 545927.1296651167),195646.5729970101,545927.1296651167
590,10200,27-26대,POINT (194997.6220252015 545075.8090615754),194997.62202520148,545075.8090615754
590,10200,26-56대,POINT (194968.5589643316 544998.8258465702),194968.5589643316,544998.8258465702
590,10500,9-22도,POINT (196928.3328667878 545369.5653114108),196928.33286678782,545369.5653114108
590,10400,477-1도,POINT (195645.6900408726 545912.8670098155),195645.6900408726,545912.8670098154
590,10200,180-6대,POINT (194635.195705851 544958.6023445753),194635.19570585102,544958.6023445753
590,10800,391-509대,POINT (193320.8695130665 544548.1433550644),193320.8695130665,544548.1433550643
590,10800,391-509대,POINT (193351.3709355795 544547.0817771255),193351.3709355795,544547.0817771255
590,10800,466-10대,POINT (193358.0389044521 544543.2016835333),193358.0389044521,544543.2016835333
590,10800,375-19대,POINT (193507.3050039176 544538.2917726914),193507.30500391763,544538.2917726914
590,10800,404-2도,POINT (193509.2885336226 544444.8398075871),193509.2885336226,544444.8398075871
590,10900,347-1도,POINT (193575.3983949449 544412.6341510884),193575.39839494487,544412.6341510884
590,10200,156-9대,POINT (195071.5458012257 544599.8802132622),195071.5458012257,544599.8802132622
590,10800,507 대,POINT (193925.8123050534 545795.4522667476),193925.8123050534,545795.4522667476
590,10800,23-190도,POINT (193932.1979874166 545789.5620287309),193932.1979874166,545789.562028731
590,10200,259-4 도,POINT (194228.1682523352 544261.987483891),194228.1682523352,544261.987483891
590,10800,11-4도,POINT (194017.1476517326 545292.7642713805),194017.1476517326,545292.7642713805
590,10500,211-32대,POINT (196082.4366746316 545197.4801994084),196082.4366746316,545197.4801994085
590,10500,190-19도,POINT (196377.3664829777 545308.5595349345),196377.3664829777,545308.5595349346
590,10200,214-193대,POINT (195022.8270673498 543767.8473219905),195022.8270673498,543767.8473219904
590,10500,260천,POINT (197042.2098213296 545187.2917177312),197042.2098213296,545187.2917177312
590,10500,42-21대,POINT (197033.8219195664 545203.990785967),197033.8219195664,545203.990785967
590,10500,39-10대,POINT (197027.4565963214 545125.7017703378),197027.4565963214,545125.7017703378
590,10500,38-43대,POINT (197006.7038054469 545119.3620558782),197006.70380544692,545119.3620558782
590,10500,38-29대,POINT (197004.8772337658 545138.0463710695),197004.8772337658,545138.0463710695
590,10900,395-61도,POINT (193288.5931695102 543701.3658571168),193288.5931695102,543701.3658571168
590,10900,395공,POINT (193242.1330055601 543823.7708838369),193242.1330055601,543823.7708838369
590,10700,222도,POINT (197328.6528735435 542854.8118223954),197328.65287354353,542854.8118223954
590,10500,204-56도,POINT (196201.6302470397 545232.0363473208),196201.6302470397,545232.0363473208
590,10600,102-44대,POINT (198210.604728717 543856.8151229017),198210.60472871698,543856.8151229017
590,10800,508 대,POINT (193710.2783092893 545493.5000829577),193710.2783092893,545493.5000829578
590,10700,209-16학,POINT (197143.3279278319 542837.9446136422),197143.3279278319,542837.9446136422
590,10900,390-5학,POINT (193146.0083724517 544281.6911042378),193146.00837245173,544281.6911042378
590,10800,23-186 도,POINT (193721.2631720531 545493.7435217042),193721.2631720531,545493.7435217042
590,10500,207-57도,POINT (196206.4803136841 545179.1867391495),196206.4803136841,545179.1867391495
590,10500,221-1도,POINT (196277.7500144477 545263.7540798153),196277.7500144477,545263.7540798153
590,10500,204-136구,POINT (196323.8013215338 545274.8595913864),196323.8013215338,545274.8595913864
590,10500,221-1도,POINT (196327.8274648321 545261.5556225695),196327.8274648321,545261.5556225695
590,10500,195-16 대,POINT (196353.0773316869 545289.6365893667),196353.07733168692,545289.6365893667
590,10500,221학,POINT (196328.5451112091 545207.2442590308),196328.5451112091,545207.2442590308
590,10800,64-13도,POINT (193679.0083232577 545956.2476324675),193679.0083232577,545956.2476324675
590,10400,126-3 도,POINT (195904.8769356813 545932.4774606867),195904.8769356813,545932.4774606867
590,10500,86 학,POINT (196491.3336226511 544713.5977721717),196491.3336226511,544713.5977721717
590,10500,86-201 도,POINT (196483.552607551 544613.0158016151),196483.552607551,544613.0158016151
590,10800,375-1학,POINT (193451.9617278669 544811.6263175119),193451.9617278669,544811.6263175119
590,10500,86-93도,POINT (196474.3668623662 544619.252275494),196474.3668623662,544619.2522754939
590,10800,466-31도,POINT (193449.0997245079 545720.0555151526),193449.0997245079,545720.0555151526
590,10800,466-31도,POINT (193426.2201009354 545721.7305639433),193426.2201009354,545721.7305639433
590,10500,141-2공,POINT (196661.0762051734 545349.8592004704),196661.0762051734,545349.8592004704
590,10900,343-1도,POINT (193604.7691618083 544158.2490292669),193604.76916180828,544158.2490292669
590,10900,345-2도,POINT (193619.6885847859 544242.0653161436),193619.6885847859,544242.0653161436
590,10900,343-77대,POINT (193595.1778609004 544107.9941733155),193595.17786090038,544107.9941733155
590,10900,342-41대,POINT (193651.4673019158 544058.4247506735),193651.46730191578,544058.4247506735
590,10600,66-29도,POINT (198454.1467049966 543929.8190434302),198454.14670499662,543929.8190434303
590,10300,56-99대,POINT (195820.6691848088 544244.2304946943),195820.6691848088,544244.2304946943
590,10100,114-8도,POINT (195073.657860043 545973.2920784219),195073.65786004302,545973.2920784219
590,10700,708-535 도,POINT (196771.8309786949 543249.4076658867),196771.8309786949,543249.4076658867
590,10800,400-8대,POINT (192971.6977873671 544436.4403537007),192971.6977873671,544436.4403537007
590,10800,407-9제,POINT (192964.809297133 544330.2343411533),192964.809297133,544330.2343411533
590,10900,378-10도,POINT (193008.9490488406 544301.8166970533),193008.9490488406,544301.8166970533
590,10800,407-8대,POINT (193018.4388418524 544305.5897326779),193018.4388418524,544305.5897326779
590,10700,산24-17임,POINT (197692.8467727699 542656.2039458498),197692.84677276987,542656.2039458498
590,10700,265-17도,POINT (197712.0715107031 542640.8110930127),197712.0715107031,542640.8110930127
590,10700,산24-17임,POINT (197571.1049186292 542728.4176972972),197571.10491862922,542728.4176972972
590,10700,169-32대,POINT (197326.3267538779 542868.407650269),197326.3267538779,542868.407650269
590,10700,169-32대,POINT (197251.3855382371 542941.1655837036),197251.3855382371,542941.1655837036
590,10700,226-5 도,POINT (197233.130373146 542940.0872795025),197233.130373146,542940.0872795025
590,10700,산31-6임,POINT (197144.04400262 543051.0307180664),197144.04400262,543051.0307180664
590,10700,1129도,POINT (198007.4045741949 541910.256022191),198007.4045741949,541910.256022191
590,10700,1129도,POINT (197515.5547814041 541825.1736944492),197515.5547814041,541825.1736944492
590,10700,1129도,POINT (197582.6157801768 541844.6117020762),197582.6157801768,541844.6117020762
590,10900,702-2천,POINT (191493.930282371 542886.5011406537),191493.930282371,542886.5011406536
590,10900,686-48대,POINT (191569.8351288388 543003.4460779709),191569.83512883878,543003.4460779709
590,10900,699-3도,POINT (191614.2046617579 543071.7111788258),191614.2046617579,543071.7111788258
590,10700,1129도,POINT (198087.6335404342 541933.1326925331),198087.6335404342,541933.1326925331
590,10700,105대,POINT (197910.1664913088 543425.7966262468),197910.1664913088,543425.7966262468
590,10700,59-1도,POINT (197944.7158399402 543671.7185043711),197944.71583994018,543671.7185043711
590,10900,378-10도,POINT (193105.2230826302 544269.9599575785),193105.2230826302,544269.9599575786
590,10900,395-61도,POINT (193159.1144006431 543428.2886264201),193159.1144006431,543428.2886264201
590,10700,708-975도,POINT (197064.9664908285 542588.525116628),197064.96649082852,542588.5251166279
590,10700,산32-87임,POINT (196980.077672876 542428.1994238837),196980.077672876,542428.1994238837
590,10600,산18-4임,POINT (198458.1072852219 543966.8502233209),198458.10728522192,543966.8502233209
590,10600,764-19대,POINT (198451.8190062006 543751.4957674855),198451.8190062006,543751.4957674855
590,10500,260천,POINT (197244.6945188188 545196.495371787),197244.69451881878,545196.495371787
590,10700,247-3도,POINT (197354.3407729819 542864.8546967311),197354.3407729819,542864.8546967311
590,10700,산25-33도,POINT (197519.6156138932 542780.6727031814),197519.6156138932,542780.6727031814
590,10700,169-14도,POINT (197559.2296719271 542995.522739408),197559.2296719271,542995.522739408
590,10700,1129도,POINT (197780.2897714404 541897.5413813279),197780.28977144038,541897.5413813279
590,10700,1129도,POINT (197736.1983460727 541887.1914512643),197736.1983460727,541887.1914512643
590,10200,325대,POINT (195077.5695570018 545101.8518161837),195077.56955700179,545101.8518161837
590,10700,105대,POINT (197918.0655051474 543264.8534551134),197918.0655051474,543264.8534551135
590,10200,111-4학,POINT (196493.639519221 543821.3389855863),196493.639519221,543821.3389855863
590,10200,407-3도,POINT (196483.1920752263 543816.1570777805),196483.19207522628,543816.1570777805
590,10900,395-61도,POINT (193210.3038654041 543708.2987188309),193210.3038654041,543708.2987188309
590,10900,395-61도,POINT (193187.3988229372 543592.3589229564),193187.3988229372,543592.3589229564
590,10700,169-18도,POINT (197700.2350584841 542726.5701474069),197700.2350584841,542726.5701474069
590,10900,395-61도,POINT (193208.7830495638 543602.1727897994),193208.7830495638,543602.1727897994
590,10900,395-61도,POINT (193341.6257329286 543595.954783457),193341.6257329286,543595.954783457
590,10900,395-61도,POINT (193334.8947541691 543564.0766543321),193334.8947541691,543564.0766543321
590,10700,708-659도,POINT (198415.4158282233 543189.8066341463),198415.41582822328,543189.8066341464
590,10700,3266 도,POINT (198417.6747756552 543226.5958177788),198417.6747756552,543226.5958177788
590,10700,82-5도,POINT (198436.7297715725 543337.2430796103),198436.7297715725,543337.2430796103
590,10900,395-73대,POINT (193352.1740812137 543575.8694056144),193352.1740812137,543575.8694056143
590,10900,591-42대,POINT (191909.8486487427 543133.2964648176),191909.84864874269,543133.2964648176
590,10900,600-99대,POINT (192037.8335622816 543082.1688681119),192037.8335622816,543082.1688681119
590,10900,700-4도,POINT (192144.6123311967 543085.2894645055),192144.61233119672,543085.2894645055
590,10700,1106도,POINT (198021.2050466481 541930.7063302789),198021.20504664807,541930.7063302789
590,10700,1129도,POINT (197959.9640104178 541923.2900376531),197959.9640104178,541923.2900376532
590,10700,421-1대,POINT (197904.4614073842 541917.4827953825),197904.46140738422,541917.4827953825
590,10700,1129도,POINT (197833.4833906436 541906.5493821844),197833.48339064358,541906.5493821844
590,10900,395-70대,POINT (193320.2778028656 543583.0992385464),193320.27780286557,543583.0992385464
590,10900,699도,POINT (191760.5798218691 543293.8244579745),191760.5798218691,543293.8244579745
590,10900,700도,POINT (191823.221467057 543197.036555458),191823.22146705698,543197.036555458
590,10100,750-25도,POINT (198670.965467062 544345.0519099088),198670.965467062,544345.0519099089
590,10100,750-25도,POINT (198679.4143423848 544333.0325662474),198679.4143423848,544333.0325662474
590,10100,750-25도,POINT (198675.7125744333 544323.423290337),198675.71257443327,544323.4232903371
590,10100,752-2도,POINT (198650.9972950358 544327.2927829998),198650.99729503578,544327.2927829998
590,10800,498-1도,POINT (193572.2448115258 546144.9510949246),193572.24481152577,546144.9510949246
590,10800,48-3대,POINT (193561.0409399225 546115.8398537915),193561.0409399225,546115.8398537915
590,10900,345-6도,POINT (193573.5477462899 543986.3543471296),193573.54774628987,543986.3543471296
590,10900,344-213도,POINT (193586.4209347885 544057.5495774132),193586.4209347885,544057.5495774132
590,10900,395-61도,POINT (193288.2195951637 543726.4764950875),193288.2195951637,543726.4764950875
590,10900,395-61도,POINT (193224.8210658581 543740.9509677821),193224.8210658581,543740.9509677821
590,10900,395-61도,POINT (193207.0418823586 543731.866252484),193207.0418823586,543731.866252484
590,10300,311-3도,POINT (195791.7376043992 544249.879311564),195791.7376043992,544249.879311564
590,10800,58천,POINT (193736.3836835033 545976.026288385),193736.38368350329,545976.026288385
590,10800,339-26도,POINT (193748.8492494886 545960.6892687324),193748.8492494886,545960.6892687324
590,10800,62-5도,POINT (193799.6025395785 545960.3208905876),193799.6025395785,545960.3208905875
590,10800,54-2도,POINT (193903.7863686331 545988.4632389001),193903.7863686331,545988.4632389001
590,10100,42-6도,POINT (194555.8086272311 545981.367325143),194555.8086272311,545981.367325143
590,10100,40-12도,POINT (194584.1287839721 546015.5841589136),194584.12878397212,546015.5841589136
590,10100,70-7도,POINT (194873.0945803368 546006.7135177497),194873.0945803368,546006.7135177497
590,10800,58천,POINT (193950.7477045737 545978.4901690376),193950.7477045737,545978.4901690376
590,10800,51-14도,POINT (193977.0852335872 545991.0231201019),193977.0852335872,545991.0231201019
590,10100,60-11도,POINT (194818.5522888083 545998.037447802),194818.55228880828,545998.037447802
590,10100,69-13도,POINT (194917.7728459947 546009.4813260213),194917.77284599468,546009.4813260214
590,10100,67-3도,POINT (194907.6812042958 546037.6542137032),194907.68120429578,546037.6542137032
590,10100,24-5도,POINT (194399.2918031445 545970.6098680015),194399.2918031445,545970.6098680015
590,10100,153-22도,POINT (195287.0156046389 546014.7765772761),195287.0156046389,546014.7765772761
590,10100,128-2대,POINT (195267.4320412454 545988.6582674311),195267.4320412454,545988.6582674311
590,10100,114-11대,POINT (195082.7202428098 546007.0440717256),195082.7202428098,546007.0440717256
590,10100,113-1도,POINT (195022.2495488608 546017.0625346478),195022.24954886077,546017.0625346478
590,10100,67-3도,POINT (194969.2773682141 546042.1671990314),194969.2773682141,546042.1671990314
590,10100,873도,POINT (198653.907929173 544355.9444364179),198653.907929173,544355.9444364179
590,10300,633-32대,POINT (195511.377675841 544653.9425840979),195511.377675841,544653.9425840979
590,10300,418-2대,POINT (195704.1610649197 544375.709647569),195704.1610649197,544375.709647569
590,10300,528-1도,POINT (195484.2839070548 544723.1433564867),195484.2839070548,544723.1433564867
590,10300,620대,POINT (195455.6155876857 544702.7647596484),195455.6155876857,544702.7647596485
590,10900,559-11도,POINT (191990.4104085575 543644.8871899412),191990.4104085575,543644.8871899411
590,10900,584-12도,POINT (191971.6167107085 543616.6615563849),191971.6167107085,543616.6615563849
590,10200,230-18대,POINT (194670.9062577233 545095.2013246403),194670.90625772328,545095.2013246403
590,10700,3266 도,POINT (198422.4808378901 543169.1274238277),198422.48083789012,543169.1274238278
590,10700,2270-1대,POINT (198434.7327067771 543168.5023654866),198434.7327067771,543168.5023654866
590,10300,36-1대,POINT (195353.3643337536 544843.1752855143),195353.3643337536,544843.1752855143
590,10200,,POINT (194991.2758975771 544856.2956667388),194991.2758975771,544856.2956667389
590,10800,1192도,POINT (193072.9211687581 544838.1998873547),193072.9211687581,544838.1998873547
590,10900,551-8도,POINT (192115.3047997658 543845.1597016712),192115.30479976578,543845.1597016712
590,10900,707-7도,POINT (192130.9167803232 543871.3856571747),192130.9167803232,543871.3856571747
590,10900,492-123도,POINT (192423.3359009186 544114.9282106203),192423.33590091858,544114.9282106203
590,10900,349-35도,POINT (193477.5790287401 544292.8986136136),193477.57902874012,544292.8986136136
590,10900,707-7도,POINT (192140.0898270255 543889.607574582),192140.0898270255,543889.607574582
590,10900,470-10대,POINT (192435.2759090161 544031.8431790906),192435.27590901608,544031.8431790906
590,10900,470-10대,POINT (192425.8001934754 544038.3959209125),192425.80019347538,544038.3959209125
590,10900,470-8대,POINT (192440.9422788921 544041.8617512431),192440.94227889212,544041.8617512431
590,10700,206-55도,POINT (196969.8902278867 542996.9805059816),196969.89022788673,542996.9805059816
590,10900,4467대,POINT (192449.7098158735 543922.1002960759),192449.7098158735,543922.1002960759
590,10700,산32-59임,POINT (197132.4099085063 542846.2668235709),197132.4099085063,542846.266823571
590,10700,708-1048도,POINT (197040.3287487208 542930.3060323132),197040.32874872079,542930.3060323132
590,10200,214-192대,POINT (195017.6582162986 543773.9182493292),195017.6582162986,543773.9182493292
590,10800,407-1도,POINT (193513.767971757 544428.6473740055),193513.76797175698,544428.6473740055
590,10900,565-21대,POINT (192041.5128660281 543713.5832367133),192041.5128660281,543713.5832367133
590,10900,500-13도,POINT (192713.6316938617 544172.5954131563),192713.6316938617,544172.5954131563
590,10900,395-61도,POINT (193373.7102467797 543699.0343422377),193373.7102467797,543699.0343422377
590,10500,산15-58임,POINT (196213.3142082541 545228.8528832115),196213.3142082541,545228.8528832115
590,10800,322-1도,POINT (193974.2519080772 545895.75104019),193974.2519080772,545895.75104019
590,10800,466-10대,POINT (193396.0929768258 544497.1436068509),193396.09297682578,544497.143606851
590,10100,205-69대,POINT (195261.3039375946 545500.3110390051),195261.3039375946,545500.311039005
590,10500,204-172 도,POINT (196206.2739702445 545218.6305081532),196206.27397024448,545218.6305081532
590,10800,501대,POINT (193293.8708983244 544957.4079293949),193293.8708983244,544957.407929395
590,10800,466-10대,POINT (193403.4373909596 544541.6572607206),193403.43739095962,544541.6572607206
590,10800,466-10대,POINT (193397.2193994765 544536.2450893812),193397.21939947648,544536.2450893811
590,10500,141도,POINT (196622.2734022492 545317.7649553675),196622.2734022492,545317.7649553675
590,10800,379-7대,POINT (193287.2127711636 544538.5530062369),193287.21277116358,544538.5530062369
590,10800,375-41대,POINT (193294.7903223941 544815.3836239527),193294.7903223941,544815.3836239527
590,10600,316-3천,POINT (198248.9533452814 545142.5239206103),198248.9533452814,545142.5239206103
590,10800,466-1도,POINT (193426.7697633558 545891.5677508074),193426.76976335578,545891.5677508074
590,10800,4898천,POINT (193419.5897096697 545909.9865472495),193419.5897096697,545909.9865472495
590,10800,117-7도,POINT (193516.4781966804 545911.2460888248),193516.4781966804,545911.2460888248
590,10500,248-77대,POINT (196516.9392118438 544803.2620869478),196516.9392118438,544803.2620869478
590,10200,산65-139임,POINT (194793.4337339594 544660.4777513247),194793.43373395942,544660.4777513247
590,10800,466-2도,POINT (193503.1425428927 545836.6468850637),193503.1425428927,545836.6468850636
590,10800,466-55도,POINT (193571.1493946274 545742.1161598751),193571.14939462737,545742.1161598751
590,10800,511 대,POINT (193509.1210572733 545731.9027249092),193509.12105727327,545731.9027249092
590,10800,466-2도,POINT (193461.8979991397 545726.66119642),193461.89799913968,545726.66119642
590,10800,466-31도,POINT (193373.8101218452 545744.7748737597),193373.8101218452,545744.7748737597
590,10200,173-12대,POINT (194836.6136706535 544594.561545327),194836.61367065352,544594.5615453271
590,10900,378-10도,POINT (193139.2763121322 544254.2284949329),193139.2763121322,544254.2284949329
590,10900,466-10 도,POINT (193127.7378249055 544248.0701339004),193127.73782490552,544248.0701339004
590,10900,390-5학,POINT (193102.8318952249 544253.3756576076),193102.8318952249,544253.3756576076
590,10900,709대,POINT (193092.1478998273 544246.0813311402),193092.1478998273,544246.0813311402
590,10900,398-1대,POINT (193020.4535930242 544240.5923234022),193020.45359302423,544240.5923234022
590,10900,390-5학,POINT (193010.6809011349 544254.899448281),193010.68090113488,544254.899448281
590,10900,466-10 도,POINT (193002.4289654635 544247.9594447139),193002.4289654635,544247.9594447139
590,10900,398-1대,POINT (192995.0284871283 544241.7481610405),192995.0284871283,544241.7481610405
590,10800,503-2도,POINT (193381.7425787516 545489.6436843638),193381.7425787516,545489.6436843638
590,10800,501-4도,POINT (193475.7063272153 545445.4099452446),193475.7063272153,545445.4099452446
590,10600,316천,POINT (197923.0824613338 544911.8391068809),197923.08246133378,544911.839106881
590,10900,370-1대,POINT (192844.2467545429 544211.4421218855),192844.2467545429,544211.4421218855
590,10800,68-10구,POINT (193870.8627691269 545400.3032244784),193870.86276912692,545400.3032244784
590,10200,361-6대,POINT (194204.9801108242 544722.574476258),194204.98011082422,544722.574476258
590,10200,361-143대,POINT (194221.8087612529 544748.1525482452),194221.80876125288,544748.1525482453
590,10200,188-66도,POINT (194232.0758076759 544767.7660360432),194232.0758076759,544767.7660360432
590,10200,329도,POINT (195339.6664261425 545355.4340348809),195339.6664261425,545355.434034881
590,10200,325대,POINT (195095.0201633938 545087.7310861569),195095.02016339378,545087.7310861569
590,10200,226-20대,POINT (194823.406699184 545096.1708932873),194823.40669918398,545096.1708932873
590,10200,323대,POINT (195388.5025785538 545257.2560359723),195388.5025785538,545257.2560359723
590,10200,34-61도,POINT (195347.1624904924 545206.985749905),195347.1624904924,545206.985749905
590,10200,17-1도,POINT (195304.5835095876 545128.8021559049),195304.58350958762,545128.8021559049
590,10300,414-3대,POINT (195362.432396583 544907.3735050801),195362.432396583,544907.3735050801
590,10200,230-44도,POINT (194630.6916359121 545032.7023376391),194630.6916359121,545032.702337639
590,10200,368-4도,POINT (194683.4401948827 545058.6437886423),194683.44019488269,545058.6437886423
590,10200,373-64구,POINT (194776.2286338347 545062.900122877),194776.2286338347,545062.900122877
590,10900,591-10대,POINT (191874.3961106745 543092.9742431702),191874.39611067448,543092.9742431702
590,10800,501대,POINT (193300.8433868953 545128.6354158738),193300.8433868953,545128.6354158738
590,10800,466-55도,POINT (193660.7759380253 545753.4878967084),193660.77593802533,545753.4878967084
590,10500,28-141도,POINT (197461.7652194394 545121.4036575223),197461.7652194394,545121.4036575223
590,10500,28-5도,POINT (197363.8133153745 545162.9044568257),197363.8133153745,545162.9044568257
590,10500,34-1도,POINT (197224.1636651382 545189.0826076703),197224.1636651382,545189.0826076703
590,10200,329도,POINT (194994.5243578762 545379.3349210713),194994.52435787622,545379.3349210713
590,10200,329도,POINT (195007.5004528049 545412.6365657919),195007.50045280487,545412.6365657919
590,10200,329도,POINT (195017.1642061595 545414.1925118682),195017.1642061595,545414.1925118682
