쉼터명,법정동명,쉼터유형구분,운영시작일자,운영종료일자,시설면적,이용가능인원수,선풍기보유대수,에어컨보유대수,야간연장운영여부,주말운영여부,숙박가능여부,특이사항,소재지도로명주소,소재지지번주소,관리기관명,관리기관전화번호,위도,경도,데이터기준일자
대한경로당,서울특별시 동작구 노량진1동,노인시설,2020-05-18,2020-09-30,67.60,50,6,6,N,N,N,,서울특별시 동작구  노량진로14길  44   (노량진동),서울특별시 동작구 노량진동 84-33,서울특별시 동작구청,02-820-9560,37.5117093,126.9426659,2020-03-27
본동SH-Ville A.경로당,서울특별시 동작구 노량진1동,노인시설,2020-05-18,2020-09-30,71.97,40,1,1,N,N,N,,"서울특별시 동작구  노량진로22길  60   (본동, 본동 에스에이치빌)",서울특별시 동작구 본동 490,서울특별시 동작구청,02-820-9560,37.5107755,126.9497923,2020-03-27
유원A.경로당,서울특별시 동작구 노량진1동,노인시설,2020-05-18,2020-09-30,60.85,40,2,1,N,N,N,,"서울특별시 동작구  노량진로23가길  16 , 상가 (본동, 유원강변아파트)",서울특별시 동작구 본동 482 유원강변아파트 상가,서울특별시 동작구청,02-820-9560,37.5147226,126.9515344,2020-03-27
래미안트윈파크A.경로당,서울특별시 동작구 노량진1동,노인시설,2020-05-18,2020-09-30,189.53,60,2,2,N,N,N,,"서울특별시 동작구  노량진로23가길  23   (본동, 래미안 트윈파크)",서울특별시 동작구 본동 494,서울특별시 동작구청,02-820-9560,37.5141277,126.9508307,2020-03-27
한강쌍용A.경로당,서울특별시 동작구 노량진1동,노인시설,2020-05-18,2020-09-30,83.70,40,3,1,N,N,N,,"서울특별시 동작구  노량진로24길  2   (본동, 한강쌍용아파트)",서울특별시 동작구 본동 150,서울특별시 동작구청,02-820-9560,37.5123694,126.9531138,2020-03-27
충신경로당,서울특별시 동작구 노량진1동,노인시설,2020-05-18,2020-09-30,132.00,60,2,1,N,N,N,,서울특별시 동작구  노량진로28길  31   (본동),서울특별시 동작구 본동 47-25,서울특별시 동작구청,02-820-9560,37.5117555,126.9558768,2020-03-27
경동A.경로당,서울특별시 동작구 노량진1동,노인시설,2020-05-18,2020-09-30,83.23,40,2,1,N,N,N,,"서울특별시 동작구  노량진로32길  156   (본동, 경동윈츠리버아파트)",서울특별시 동작구 본동 484,서울특별시 동작구청,02-820-9560,37.5099845,126.9545602,2020-03-27
본동종합사회복지관,서울특별시 동작구 노량진1동,복지회관,2020-05-18,2020-09-30,52.80,60,2,2,Y,Y,N,,서울특별시 동작구  노량진로32길  79   (본동),서울특별시 동작구 본동 16-3,서울특별시 동작구청,02-820-9560,37.5105643,126.9569096,2020-03-27
신동아리버파크A.경로당,서울특별시 동작구 노량진1동,노인시설,2020-05-18,2020-09-30,276.54,80,4,2,N,N,N,,"서울특별시 동작구  만양로  19   (노량진동, 신동아리버파크임대아파트)",서울특별시 동작구 노량진동 325,서울특별시 동작구청,02-820-9560,37.5079886,126.9435934,2020-03-27
노량진1동경로당,서울특별시 동작구 노량진1동,노인시설,2020-05-18,2020-09-30,249.00,80,8,4,N,N,N,,서울특별시 동작구  만양로  77   (노량진동),서울특별시 동작구 노량진동 224-6,서울특별시 동작구청,02-820-9560,37.5103903,126.9446152,2020-03-27
삼익A.경로당,서울특별시 동작구 노량진1동,노인시설,2020-05-18,2020-09-30,148.11,60,2,3,N,N,N,,"서울특별시 동작구  만양로  84   (노량진동, 삼익주상복합아파트)",서울특별시 동작구 노량진동 330,서울특별시 동작구청,02-820-9560,37.5109692,126.9448014,2020-03-27
한마음경로당,서울특별시 동작구 노량진1동,노인시설,2020-05-18,2020-09-30,115.50,29,2,3,N,N,N,,서울특별시 동작구  만양로4길  38   (본동),서울특별시 동작구 본동 산11-1,서울특별시 동작구청,02-820-9560,37.5079536,126.9510553,2020-03-27
우성A.경로당,서울특별시 동작구 노량진1동,노인시설,2020-05-18,2020-09-30,165.00,60,2,1,N,N,N,,"서울특별시 동작구  만양로8길  50   (노량진동, 우성아파트)",서울특별시 동작구 노량진동 323,서울특별시 동작구청,02-820-9560,37.5103979,126.9465521,2020-03-27
본동삼성래미안A.경로당,서울특별시 동작구 노량진1동,노인시설,2020-05-18,2020-09-30,74.68,40,3,1,N,N,N,,"서울특별시 동작구  매봉로  123   (본동, 삼성래미안아파트)",서울특별시 동작구 본동 492,서울특별시 동작구청,02-820-9560,37.5098499,126.9501322,2020-03-27
신동아A.경로당,서울특별시 동작구 노량진1동,노인시설,2020-05-18,2020-09-30,66.00,40,3,2,N,N,N,,서울특별시 동작구  매봉로  134,서울특별시 동작구 본동 481,서울특별시 동작구청,02-820-9560,37.5097019,126.9518459,2020-03-27
극동강변A.경로당,서울특별시 동작구 노량진1동,노인시설,2020-05-18,2020-09-30,50.43,20,2,1,N,N,N,,"서울특별시 동작구  매봉로  156   (본동, 극동아파트)",서울특별시 동작구 본동 148-2 극동아파트,서울특별시 동작구청,02-820-9560,37.5116414,126.952003,2020-03-27
한신휴플러스101동A.경로당,서울특별시 동작구 노량진1동,노인시설,2020-05-18,2020-09-30,33.26,20,2,1,N,N,N,,"서울특별시 동작구  매봉로  99   (본동, 한신휴플러스아파트)",서울특별시 동작구 본동 488,서울특별시 동작구청,02-820-9560,37.5089308,126.9501328,2020-03-27
한신휴플러스A.경로당,서울특별시 동작구 노량진1동,노인시설,2020-05-18,2020-09-30,109.30,60,2,1,N,N,N,,"서울특별시 동작구  매봉로  99   (본동, 한신휴플러스아파트)",서울특별시 동작구 본동 487,서울특별시 동작구청,02-820-9560,37.5089489,126.9501555,2020-03-27
노량진1동 주민센터,서울특별시 동작구 노량진1동,주민센터,2020-05-18,2020-09-30,547.93,100,0,2,Y,Y,N,,서울특별시 동작구  장승배기로28길  30   (노량진동),서울특별시 동작구 노량진동 84-100,서울특별시 동작구청,02-820-9560,37.5122991,126.9420264,2020-03-27
한강형인아파트경로당,서울특별시 동작구 노량진1동,노인시설,2020-05-18,2020-09-30,24.00,10,2,2,N,N,N,,서울특별시 동작구 만양로 36,서울특별시 동작구 노량진동 331-0,서울특별시 동작구청,02-820-9560,37.5077497,126.948259,2020-03-27
신동아A.우리경로당,서울특별시 동작구 노량진1동,노인시설,2020-05-18,2020-09-30,136.00,60,5,3,N,N,N,,서울특별시 동작구 만양로3길 78,서울특별시 동작구 노량진동 327-0,서울특별시 동작구청,02-820-9560,37.5060167,126.9416269,2020-03-27
백로경로당,서울특별시 동작구 노량진2동,노인시설,2020-05-18,2020-09-30,183.76,45,5,1,N,N,N,,서울특별시 동작구  장승배기로17길  26   (노량진동),서울특별시 동작구 노량진동 314-6,서울특별시 동작구청,02-820-9560,37.5069656,126.9383859,2020-03-27
백송경로당,서울특별시 동작구 노량진2동,노인시설,2020-05-18,2020-09-30,163.63,40,5,1,N,N,N,,서울특별시 동작구  노량진로6길  50-14  (노량진동),서울특별시 동작구 노량진동 273-19,서울특별시 동작구청,02-820-9560,37.510505,126.9354309,2020-03-27
노량진2동 주민센터,서울특별시 동작구 노량진2동,주민센터,2020-05-18,2020-09-30,943.00,100,2,2,Y,Y,N,,서울특별시 동작구  장승배기로19길  48   (노량진동),서울특별시 동작구 노량진동 302-97,서울특별시 동작구청,02-820-9560,37.5085193,126.9373525,2020-03-27
우리은행 동작구청지점,서울특별시 동작구 노량진2동,금융기관,2020-05-18,2020-09-30,300.00,20,0,3,N,N,N,,서울특별시 동작구 장승배기로 161,서울특별시 동작구 노량진동 47-2,서울특별시 동작구청,02-820-9560,37.5119865,126.9398438,2020-03-27
동작구청 민원여권과,서울특별시 동작구 노량진2동,기타,2020-05-18,2020-09-30,231.00,50,0,9,N,N,N,,서울특별시 동작구 장승배기로 161,서울특별시 동작구 노량진동 47-2,서울특별시 동작구청,02-820-9560,37.5124037,126.9394701,2020-03-27
상도1동경로당,서울특별시 동작구 상도1동,노인시설,2020-05-18,2020-09-30,155.22,39,2,3,N,N,N,,서울특별시 동작구 상도로38길 86,서울특별시 동작구 상도동 159-282,서울특별시 동작구청,02-820-9560,37.5003623,126.9482213,2020-03-27
상도종합사회복지관,서울특별시 동작구 상도1동,복지회관,2020-05-18,2020-09-30,405.60,30,4,5,Y,Y,N,,"서울특별시 동작구  상도로39가길  7 , 상도종합사회복지관 (상도1동)",서울특별시 동작구 상도1동 456 상도종합사회복지관,서울특별시 동작구청,02-820-9560,37.502493,126.9496932,2020-03-27
상도은빛어르신복지관,서울특별시 동작구 상도1동,복지회관,2020-05-18,2020-09-30,650.61,100,0,11,N,N,N,,서울특별시 동작구 매봉로 36,서울특별시 동작구 상도1동 535-0,서울특별시 동작구청,02-820-9560,37.5065009,126.9513135,2020-03-27
상도엠코1차센트럴파크A.경로당,서울특별시 동작구 상도1동,노인시설,2020-05-18,2020-09-30,208.46,52,5,5,N,N,N,,서울특별시 동작구 상도로 346-1,서울특별시 동작구 상도동 531-0,서울특별시 동작구청,02-820-9560,37.4957472,126.9508625,2020-03-27
상도패리스 경로당,서울특별시 동작구 상도1동,노인시설,2020-05-18,2020-09-30,48.17,12,2,1,N,N,N,,"서울특별시 동작구  상도로47바길  40   (상도동, 상도패리스)",서울특별시 동작구 상도동 460 상도패리스,서울특별시 동작구청,02-820-9560,37.5034792,126.9543068,2020-03-27
상도엠코타운애스톤파크A경로당,서울특별시 동작구 상도1동,노인시설,2020-05-18,2020-09-30,141.25,35,3,4,N,N,N,,"서울특별시 동작구  상도로  346-2  (상도동, 상도 엠코타운 애스톤파크)",서울특별시 동작구 상도동 533 상도 엠코타운 애스톤파크,서울특별시 동작구청,02-820-9560,37.4972761,126.9494904,2020-03-27
삼환나우빌아파트경로당,서울특별시 동작구 상도1동,노인시설,2020-05-18,2020-09-30,111.01,28,1,1,N,N,N,,"서울특별시 동작구  상도로55길  25   (상도동, 삼환나우빌)",서울특별시 동작구 상도동 520,서울특별시 동작구청,02-820-9560,37.498306,126.9565237,2020-03-27
래미안상도3차아파트경로당,서울특별시 동작구 상도1동,노인시설,2020-05-18,2020-09-30,270.00,68,2,2,N,N,N,,서울특별시 동작구 상도로53길 8,서울특별시 동작구 상도동 431-0,서울특별시 동작구청,02-820-9560,37.4991882,126.9544763,2020-03-27
삼호아파트경로당,서울특별시 동작구 상도1동,노인시설,2020-05-18,2020-09-30,98.76,25,3,2,N,N,N,,"서울특별시 동작구  상도로  407   (상도동, 상도동 삼호아파트)",서울특별시 동작구 상도동 408,서울특별시 동작구청,02-820-9560,37.4934475,126.9569816,2020-03-27
래미안상도2차아파트경로당,서울특별시 동작구 상도1동,노인시설,2020-05-18,2020-09-30,85.38,21,2,2,N,N,N,,"서울특별시 동작구  상도로55길  47   (상도동, 래미안상도2차아파트)",서울특별시 동작구 상도동 421,서울특별시 동작구청,02-820-9560,37.4979284,126.9587206,2020-03-27
상도현대아파트경로당,서울특별시 동작구 상도1동,노인시설,2020-05-18,2020-09-30,69.25,17,2,1,N,N,N,,서울특별시 동작구 사당로2길 2-32,서울특별시 동작구 상도동 412-0,서울특별시 동작구청,02-820-9560,37.4940453,126.9593814,2020-03-27
대림아파트경로당,서울특별시 동작구 상도1동,노인시설,2020-05-18,2020-09-30,68.00,17,2,1,N,N,N,,서울특별시 동작구 상도로60길 20,서울특별시 동작구 상도동 411-3,서울특별시 동작구청,02-820-9560,37.4932684,126.954053,2020-03-27
고경경로당,서울특별시 동작구 상도1동,노인시설,2020-05-18,2020-09-30,206.16,52,6,2,N,N,N,,서울특별시 동작구  상도로53가길  16   (상도동),서울특별시 동작구 상도동 438,서울특별시 동작구청,02-820-9560,37.4974355,126.9538865,2020-03-27
청송경로당,서울특별시 동작구 상도1동,노인시설,2020-05-18,2020-09-30,192.72,48,6,5,N,N,N,,서울특별시 동작구  상도로52길  23   (상도동),서울특별시 동작구 상도동 471-7,서울특별시 동작구청,02-820-9560,37.4972114,126.9510114,2020-03-27
상도SH-Ville아파경로당,서울특별시 동작구 상도1동,노인시설,2020-05-18,2020-09-30,230.73,58,9,3,N,N,N,,서울특별시 동작구 상도로53길 70,서울특별시 동작구 상도동 439-0,서울특별시 동작구청,02-820-9560,37.5028531,126.9544684,2020-03-27
터널경로당,서울특별시 동작구 상도1동,노인시설,2020-05-18,2020-09-30,39.00,31,4,2,N,N,N,,서울특별시 동작구 매봉로 36,서울특별시 동작구 상도1동 535-0,서울특별시 동작구청,02-820-9560,37.5065189,126.9513107,2020-03-27
중앙하이츠아파트경로당,서울특별시 동작구 상도1동,노인시설,2020-05-18,2020-09-30,71.92,18,2,1,N,N,N,,서울특별시 동작구 상도로 320,서울특별시 동작구 상도동 415-0,서울특별시 동작구청,02-820-9560,37.5000355,126.9497599,2020-03-27
상도1동 주민센터,서울특별시 동작구 상도1동,주민센터,2020-05-18,2020-09-30,624.00,80,0,1,Y,Y,N,,서울특별시 동작구  상도로53길  9   (상도동),서울특별시 동작구 상도동 437,서울특별시 동작구청,02-820-9560,37.4981222,126.953069,2020-03-27
상도2동경로당,서울특별시 동작구 상도2동,노인시설,2020-05-18,2020-09-30,346.33,80,3,2,N,N,N,,서울특별시 동작구  양녕로36길  13   (상도동),서울특별시 동작구 상도동 159-330,서울특별시 동작구청,02-820-9560,37.5022189,126.9461932,2020-03-27
낙원경로당,서울특별시 동작구 상도2동,노인시설,2020-05-18,2020-09-30,177.82,60,2,2,Y,Y,N,,서울특별시 동작구  상도로30길  73   (상도동),서울특별시 동작구 상도동 28-24,서울특별시 동작구청,02-820-9560,37.5039572,126.9448461,2020-03-27
장수경로당,서울특별시 동작구 상도2동,노인시설,2020-05-18,2020-09-30,235.71,80,4,2,N,N,N,,서울특별시 동작구  장승배기로9나길  20   (상도동),서울특별시 동작구 상도동 200-52,서울특별시 동작구청,02-820-9560,37.5018707,126.9389923,2020-03-27
건영아파트경로당,서울특별시 동작구 상도2동,노인시설,2020-05-18,2020-09-30,195.00,50,1,1,N,N,N,,"서울특별시 동작구  만양로  26   (상도동, 건영아파트)",서울특별시 동작구 상도동 414,서울특별시 동작구청,02-820-9560,37.5071733,126.9487825,2020-03-27
래미안1차108동아파트경로당,서울특별시 동작구 상도2동,노인시설,2020-05-18,2020-09-30,113.00,60,2,3,N,N,N,,"서울특별시 동작구  등용로  37   (상도동, 상도동래미안1차아파트)",서울특별시 동작구 상도동 447,서울특별시 동작구청,02-820-9560,37.5052621,126.9330462,2020-03-27
아이파크아파트경로당,서울특별시 동작구 상도2동,노인시설,2020-05-18,2020-09-30,138.00,60,2,2,N,N,N,,"서울특별시 동작구  장승배기로  26   (상도동, 아이파크상도동)",서울특별시 동작구 상도동 416,서울특별시 동작구청,02-820-9560,37.5008676,126.941908,2020-03-27
삼성래미안1차아파트경로당,서울특별시 동작구 상도2동,노인시설,2020-05-18,2020-09-30,151.88,60,2,1,N,N,N,,"서울특별시 동작구  등용로  37   (상도동, 상도동래미안1차아파트)",서울특별시 동작구 상도동 450,서울특별시 동작구청,02-820-9560,37.5044651,126.9337962,2020-03-27
상도더샵아파트경로당,서울특별시 동작구 상도2동,노인시설,2020-05-18,2020-09-30,159.00,60,2,3,N,N,N,,서울특별시 동작구 장승배기로4길 9,서울특별시 동작구 상도동 521-0,서울특별시 동작구청,02-820-9560,37.5016426,126.9423061,2020-03-27
브라운스톤상도아파트경로당,서울특별시 동작구 상도2동,노인시설,2020-05-18,2020-09-30,159.00,60,2,1,N,N,N,,"서울특별시 동작구  상도로31길  19   (상도동, 브라운스톤 상도)",서울특별시 동작구 상도동 527,서울특별시 동작구청,02-820-9560,37.5060179,126.9440077,2020-03-27
동원베네스트아파트경로당,서울특별시 동작구 상도2동,노인시설,2020-05-18,2020-09-30,44.47,20,1,2,N,N,N,,"서울특별시 동작구  상도로34길  42   (상도동, 상도동 동원베네스트)",서울특별시 동작구 상도동 528,서울특별시 동작구청,02-820-9560,37.5030516,126.9446545,2020-03-27
이편한세상 상도노빌리티아파트 경로당,서울특별시 동작구 상도2동,노인시설,2020-05-18,2020-09-30,238.69,70,,5,N,N,N,,서울특별시 동작구 상도로 249,서울특별시 동작구 상도동 36-1,서울특별시 동작구청,02-820-9560,37.5053621,126.9482974,2020-03-27
상도2동 주민센터,서울특별시 동작구 상도2동,주민센터,2020-05-18,2020-09-30,636.00,80,6,3,Y,Y,N,,서울특별시 동작구  상도로  211   (상도동),서울특별시 동작구 상도동 25-48,서울특별시 동작구청,02-820-9560,37.5054945,126.9423314,2020-03-27
상도3동경로당,서울특별시 동작구 상도3동,노인시설,2020-05-18,2020-09-30,124.25,41,2,2,N,N,N,,서울특별시 동작구 국사봉1길 221-7,서울특별시 동작구 상도동 283-226,서울특별시 동작구청,02-820-9560,37.4934517,126.9363305,2020-03-27
쌍용스윗닷홈아파트경로당,서울특별시 동작구 상도3동,노인시설,2020-05-18,2020-09-30,111.70,65,2,1,N,N,N,,"서울특별시 동작구  상도로  107   (상도동, 쌍용스윗닷홈)",서울특별시 동작구 상도동 418,서울특별시 동작구청,02-820-9560,37.5013825,126.9316926,2020-03-27
성대경로당,서울특별시 동작구 상도3동,노인시설,2020-05-18,2020-09-30,180.15,59,5,4,Y,Y,N,,서울특별시 동작구  상도로13길  16   (상도동),서울특별시 동작구 상도동 336-5,서울특별시 동작구청,02-820-9560,37.5012735,126.9302762,2020-03-27
갑을명가1차아파트경로당,서울특별시 동작구 상도3동,노인시설,2020-05-18,2020-09-30,35.54,39,2,2,N,N,N,,"서울특별시 동작구  국사봉길  178   (상도동, 상도1차 갑을명가아파트)",서울특별시 동작구 상도동 458,서울특별시 동작구청,02-820-9560,37.4935902,126.9341875,2020-03-27
갑을명가2차아파트경로당,서울특별시 동작구 상도3동,노인시설,2020-05-18,2020-09-30,66.88,33,2,1,N,N,N,,"서울특별시 동작구  국사봉길  175   (상도동, 상도2차갑을명가아파트)",서울특별시 동작구 상도동 459,서울특별시 동작구청,02-820-9560,37.4935862,126.9352448,2020-03-27
상도3동 주민센터,서울특별시 동작구 상도3동,주민센터,2020-05-18,2020-09-30,408.63,100,2,13,Y,Y,N,,서울특별시 동작구  성대로2길  11   (상도동),서울특별시 동작구 상도동 315-37,서울특별시 동작구청,02-820-9560,37.4992063,126.9313412,2020-03-27
약수경로당,서울특별시 동작구 상도4동,노인시설,2020-05-18,2020-09-30,124.25,20,2,2,N,N,N,,서울특별시 동작구 양녕로30길 5,서울특별시 동작구 상도동 211-444,서울특별시 동작구청,02-820-9560,37.4994363,126.9447615,2020-03-27
성대골경로당,서울특별시 동작구 상도4동,노인시설,2020-05-18,2020-09-30,180.15,30,4,2,N,N,N,,서울특별시 동작구  성대로10나길  1-4  (상도동),서울특별시 동작구 상도동 261-16,서울특별시 동작구청,02-820-9560,37.4973118,126.9349758,2020-03-27
경향렉스빌아파트경로당,서울특별시 동작구 상도4동,노인시설,2020-05-18,2020-09-30,112.00,20,1,1,N,N,N,,"서울특별시 동작구  양녕로23길  9   (상도동, 경향렉스빌)",서울특별시 동작구 상도동 445,서울특별시 동작구청,02-820-9560,37.4953242,126.9419604,2020-03-27
동아(아) 경로당,서울특별시 동작구 상도4동,노인시설,2020-05-18,2020-09-30,29.30,8,1,1,N,N,N,,"서울특별시 동작구  양녕로23길  43   (상도동, 동아아파트)",서울특별시 동작구 상도동 409,서울특별시 동작구청,02-820-9560,37.4962309,126.9399779,2020-03-27
송학경로당(상도동),서울특별시 동작구 상도4동,노인시설,2020-05-18,2020-09-30,104.22,30,3,2,N,N,N,,"서울특별시 동작구  양녕로27길  41 , 송학경로당 데이케어센터 (상도동)",서울특별시 동작구 상도동 210-249 송학경로당 데이케어센터,서울특별시 동작구청,02-820-9560,37.4991285,126.9415192,2020-03-27
상도4동 경로당,서울특별시 동작구 상도4동,노인시설,2020-05-18,2020-09-30,89.10,20,2,2,N,N,N,,서울특별시 동작구  양녕로22바길  74   (상도동),서울특별시 동작구 상도동 211-83,서울특별시 동작구청,02-820-9560,37.4980882,126.9472366,2020-03-27
상도4동 주민센터,서울특별시 동작구 상도4동,주민센터,2020-05-18,2020-09-30,574.86,20,2,4,Y,Y,N,,서울특별시 동작구  성대로29길  53   (상도동),서울특별시 동작구 상도동 188-81,서울특별시 동작구청,02-820-9560,37.5005704,126.9377946,2020-03-27
약수도서관,서울특별시 동작구 상도4동,기타,2020-05-18,2020-09-30,15.30,5,0,1,N,N,N,,서울특별시 동작구 양녕로22바길 64,서울특별시 동작구 상도동 211-77,서울특별시 동작구청,02-820-9560,37.4978901,126.9474148,2020-03-27
흑석한강센트레빌1차아파트경로,서울특별시 동작구 흑석동,노인시설,2020-05-18,2020-09-30,147.54,60,2,1,N,N,N,,"서울특별시 동작구  흑석한강로  12   (흑석동, 흑석한강센트레빌)",서울특별시 동작구 흑석동 335 흑석한강센트레빌,서울특별시 동작구청,02-820-9560,37.5061813,126.9648545,2020-03-27
동양아파트경로당,서울특별시 동작구 흑석동,노인시설,2020-05-18,2020-09-30,109.20,60,1,2,N,N,N,,"서울특별시 동작구  서달로1길  17   (흑석동, 흑석동양아파트)",서울특별시 동작구 흑석동 328,서울특별시 동작구청,02-820-9560,37.5004129,126.9587192,2020-03-27
달마경로당,서울특별시 동작구 흑석동,노인시설,2020-05-18,2020-09-30,99.08,40,2,3,N,N,N,,서울특별시 동작구  서달로  54-15  (흑석동),서울특별시 동작구 흑석동 256-1,서울특별시 동작구청,02-820-9560,37.4990849,126.9616631,2020-03-27
한강현대아파트경로당,서울특별시 동작구 흑석동,노인시설,2020-05-18,2020-09-30,132.00,40,0,2,N,N,N,,"서울특별시 동작구  현충로  151   (흑석동, 한강현대아파트)",서울특별시 동작구 흑석동 28 한강현대아파트,서울특별시 동작구청,02-820-9560,37.506586,126.9704075,2020-03-27
흑석센트레빌2차아파트경로당,서울특별시 동작구 흑석동,노인시설,2020-05-18,2020-09-30,224.19,80,3,4,N,N,N,,서울특별시 동작구  서달로  91   (흑석동),서울특별시 동작구 흑석동 339,서울특별시 동작구청,02-820-9560,37.5022329,126.9585656,2020-03-27
흑석동 주민센터,서울특별시 동작구 흑석동,주민센터,2020-05-18,2020-09-30,736.71,80,4,6,Y,Y,N,,서울특별시 동작구  흑석한강로  11   (흑석동),서울특별시 동작구 흑석동 335-2,서울특별시 동작구청,02-820-9560,37.5057831,126.9665907,2020-03-27
흑석경로당,서울특별시 동작구 흑석동,노인시설,2020-05-18,2020-09-30,389.48,80,4,2,N,N,N,,서울특별시 동작구  서달로13길  17   (흑석동),서울특별시 동작구 흑석동 181-23,서울특별시 동작구청,02-820-9560,37.5084509,126.961876,2020-03-27
흑석푸르지오아파트경로당,서울특별시 동작구 흑석동,노인시설,2020-05-18,2020-09-30,176.48,60,5,4,N,N,N,,"서울특별시 동작구  흑석한강로  27   (흑석동, 흑석한강푸르지오)",서울특별시 동작구 흑석동 336 흑석한강푸르지오,서울특별시 동작구청,02-820-9560,37.5031541,126.9654016,2020-03-27
우리유앤미아파트경로당,서울특별시 동작구 흑석동,노인시설,2020-05-18,2020-09-30,49.84,20,0,2,N,N,N,,"서울특별시 동작구  서달로  83   (흑석동, 우리유앤미아파트)",서울특별시 동작구 흑석동 329,서울특별시 동작구청,02-820-9560,37.5006587,126.9596493,2020-03-27
비개경로당,서울특별시 동작구 흑석동,노인시설,2020-05-18,2020-09-30,284.75,80,2,2,Y,Y,N,,서울특별시 동작구  현충로12길  106-8  (흑석동),서울특별시 동작구 흑석동 295-2,서울특별시 동작구청,02-820-9560,37.5039975,126.9686838,2020-03-27
번영경로당,서울특별시 동작구 흑석동,노인시설,2020-05-18,2020-09-30,272.06,80,3,2,N,N,N,,서울특별시 동작구  서달로10다길  29   (흑석동),서울특별시 동작구 흑석동 64-13,서울특별시 동작구청,02-820-9560,37.5039916,126.963979,2020-03-27
송림경로당,서울특별시 동작구 흑석동,노인시설,2020-05-18,2020-09-30,82.51,40,3,2,N,N,N,,"서울특별시 동작구  서달로2길  29   (흑석동, 청호아파트)",서울특별시 동작구 흑석동 327청호,서울특별시 동작구청,02-820-9560,37.5011847,126.9632142,2020-03-27
해피경로당,서울특별시 동작구 흑석동,노인시설,2020-05-18,2020-09-30,92.27,40,2,3,N,N,N,,서울특별시 동작구 서달로10길 64,서울특별시 동작구 흑석동 84-10,서울특별시 동작구청,02-820-9560,37.504212,126.9628225,2020-03-27
